Number of books: 212
Average book length: 170019.34 words
Total length: 36044100 words
Unique words: 405545

~~~~
The 1000 most frequent words:
~~~~

Rank		Word			Number of occurences

328.			sir			10527
329.			hair			10455
330.			tried			10440
331.			herself			10388
332.			it's			10375
333.			coming			10361
334.			fire			10359
335.			less			10334
336.			front			10266
337.			mouth			10233
338.			rest			10228
339.			speak			10188
340.			best			10163
341.			inside			10161
342.			different			10125
343.			myself			10089
344.			taken			10076
345.			full			10048
346.			having			10037
347.			talk			10005
348.			doing			9989
349.			sound			9964
350.			call			9934
351.			can’t			9910
352.			body			9892
353.			thee			9877
354.			close			9757
355.			past			9751
356.			fact			9747
357.			remember			9728
358.			blood			9665
359.			ask			9639
360.			either			9622
361.			table			9615
362.			given			9612
363.			morning			9554
364.			certain			9544
365.			themselves			9523
366.			kept			9478
367.			wall			9463
368.			rather			9446
369.			saying			9331
370.			alone			9319
371.			sun			9308
372.			case			9275
373.			reason			9138
374.			ground			9124
375.			known			9114
376.			read			9107
377.			itself			9093
378.			land			9092
379.			cannot			9080
380.			lost			9079
381.			thousand			9059
382.			nor			9050
383.			large			9028
384.			five			8994
385.			someone			8983
386.			sort			8918
387.			floor			8869
388.			turn			8866
389.			girl			8825
390.			bed			8819
391.			stone			8794
392.			whether			8793
393.			sometimes			8793
394.			cold			8777
395.			become			8765
396.			able			8684
397.			walked			8666
398.			stopped			8632
399.			fear			8613
400.			happened			8571
401.			i’ve			8555
402.			lay			8513
403.			book			8492
404.			however			8448
405.			beyond			8438
406.			making			8426
407.			stop			8417
408.			moved			8394
409.			real			8389
410.			near			8377
411.			arms			8358
412.			ten			8341
413.			run			8340
414.			bad			8339
415.			idea			8334
416.			chapter			8322
417.			several			8249
418.			fell			8237
419.			longer			8228
420.			sense			8209
421.			there’s			8199
422.			live			8136
423.			whose			8135
424.			question			8100
425.			deep			8094
426.			anyone			8089
427.			hold			8088
428.			year			8032
429.			outside			8013
430.			answer			7989
431.			finally			7976
432.			money			7972
433.			sent			7964
434.			try			7959
435.			top			7924
436.			often			7914
437.			lot			7911
438.			sedai			7902
439.			passed			7878
440.			probably			7869
441.			within			7844
442.			ago			7811
443.			show			7794
444.			thinking			7784
445.			eye			7755
446.			order			7717
447.			aes			7706
448.			sea			7671
449.			lady			7660
450.			started			7653
451.			reached			7639
452.			cut			7631
453.			clear			7616
454.			during			7612
455.			bring			7600
456.			none			7533
457.			became			7470
458.			except			7459
459.			round			7449
460.			number			7449
461.			line			7435
462.			road			7414
463.			arm			7414
464.			green			7408
465.			slowly			7392
466.			free			7390
467.			i'm			7373
468.			standing			7370
469.			roland			7368
470.			whom			7343
471.			tower			7343
472.			ye			7341
473.			bit			7331
474.			ran			7291
475.			getting			7281
476.			spoke			7250
477.			stand			7245
478.			opened			7234
479.			means			7216
480.			child			7203
481.			hope			7167
482.			everyone			7165
483.			short			7155
484.			friend			7154
485.			feeling			7146
486.			smile			7143
487.			sleep			7125
488.			wind			7111
489.			possible			7048
490.			food			7048
491.			brother			7040
492.			street			7015
493.			talking			7007
494.			seem			6997
495.			forward			6995
496.			strange			6929
497.			blue			6929
498.			beside			6927
499.			ship			6902
500.			sky			6897
501.			he’d			6891
502.			move			6883
503.			truth			6882
504.			kill			6871
505.			didn't			6864
506.			wrong			6859
507.			john			6855
508.			egwene			6831
509.			quickly			6811
510.			master			6801
511.			poor			6765
512.			whatever			6717
513.			instead			6711
514.			state			6706
515.			window			6703
516.			die			6691
517.			wasn’t			6655
518.			comes			6614
519.			pulled			6606
520.			mat			6587
521.			gold			6587
522.			general			6585
523.			followed			6577
524.			friends			6551
525.			won’t			6547
526.			sitting			6537
527.			care			6520
528.			town			6519
529.			wife			6515
530.			story			6513
531.			ones			6506
532.			taking			6492
533.			note			6474
534.			person			6445
535.			watch			6443
536.			waiting			6437
537.			living			6422
538.			indeed			6419
539.			sight			6417
540.			meant			6413
541.			i’d			6350
542.			nodded			6340
543.			actually			6339
544.			seems			6330
545.			stay			6319
546.			thus			6299
547.			hour			6279
548.			simply			6251
549.			important			6226
550.			sword			6209
551.			raised			6209
552.			ready			6206
553.			wish			6203
554.			wait			6180
555.			knows			6158
556.			please			6150
557.			hours			6149
558.			eddie			6139
559.			killed			6109
560.			change			6099
561.			perrin			6097
562.			caught			6094
563.			today			6070
564.			fall			6063
565.			running			6050
566.			low			6029
567.			nearly			6023
568.			elayne			6007
569.			history			6005
570.			yourself			6002
571.			jack			5991
572.			mine			5989
573.			appeared			5985
574.			strong			5977
575.			watched			5965
576.			country			5959
577.			died			5954
578.			rose			5953
579.			nynaeve			5952
580.			six			5947
581.			couldn’t			5947
582.			age			5926
583.			trees			5915
584.			below			5910
585.			nature			5890
586.			ron			5878
587.			return			5861
588.			beneath			5850
589.			shadow			5840
590.			watching			5818
591.			late			5814
592.			neither			5761
593.			hath			5749
594.			north			5748
595.			fingers			5711
596.			south			5707
597.			makes			5692
598.			afraid			5681
599.			single			5670
600.			walls			5669
601.			shook			5659
602.			fine			5654
603.			certainly			5639
604.			silence			5582
605.			space			5577
606.			walk			5566
607.			chance			5559
608.			start			5554
609.			eat			5529
610.			needed			5528
611.			business			5494
612.			cried			5483
613.			doubt			5476
614.			closed			5439
615.			minutes			5435
616.			therefore			5416
617.			that's			5409
